hin_Deva,sat_Olck
मुझे मालूम है कि तुम्हें इस व्यक्ति के बारे में पढ़ने में बहुत अच्छा लगेगा जब तुम यह पाठ स्कूल में पढ़ोगी।,ᱤᱧᱫᱚᱧ ᱴᱷᱟᱹᱣᱠᱟᱹᱭᱟ ᱡᱮ ᱟᱢ ᱡᱚᱠᱷᱚᱱ ᱤᱥᱠᱩᱞᱨᱮ ᱚᱱᱟ ᱦᱟᱹᱴᱤᱧᱮᱢ ᱯᱟᱲᱦᱟᱣᱟ ᱩᱱᱤ ᱢᱟᱹᱱᱢᱤ ᱵᱟᱵᱚᱫ ᱯᱟᱲᱦᱟᱣᱨᱮ ᱠᱩᱥᱤᱢ ᱵᱩᱡᱷᱦᱟᱹᱣᱟ ᱾
"हाँ माँ, मैं इसके लिए इंतज़ार नहीं कर सकती।","ᱦᱮᱸ ᱜᱚ, ᱤᱧ ᱵᱟᱧ ᱛᱟᱹᱜᱤ ᱫᱟᱲᱮᱭᱟᱜᱽᱠᱟᱱᱟ ᱾"
मैं वास्तव में उत्सुक हूं।,ᱤᱧ ᱫᱚ ᱟᱹᱰᱤᱜᱤᱧ ᱟᱹᱠᱩᱛᱟᱠᱟᱱᱟ ᱾
"ठीक है, अब बताओ कि कौन सी फिल्म देखना चाहती हो?","ᱴᱷᱤᱠᱜᱮᱭᱟ, ᱱᱤᱛᱚᱜ ᱞᱟᱹᱭᱢᱮ ᱟᱢ ᱫᱚ ᱚᱠᱟᱴᱟᱜᱽ ᱥᱤᱱᱟᱹᱢᱟ ᱧᱮᱞ ᱪᱟᱞᱟᱜᱮᱢ ᱠᱷᱚᱡᱚᱜᱽᱠᱟᱱᱟ ?"
क्या तुम नई मार्वल फिल्म देखना चाहोगी?,ᱟᱢ ᱠᱤ ᱢᱟᱨᱵᱷᱮᱞᱟᱜᱽ ᱱᱟᱶᱟ ᱥᱤᱱᱟᱹᱢᱟ ᱧᱮᱞᱮᱢ ᱠᱷᱚᱡᱚᱜᱽᱠᱟᱱᱟ ?
तुम्हारा मतलब है डॉक्टर स्ट्रेंज और मल्टीवर्स ऑफ मैडनेस?,ᱦᱮᱸ ᱢᱮᱱᱮᱫᱽ ᱫᱚ ᱰᱚᱠᱴᱚᱨ ᱥᱴᱨᱮᱧᱡᱽ ᱟᱨ ᱫᱟ ᱢᱟᱞᱴᱤᱵᱷᱟᱨᱥ ᱚᱯᱷ ᱢᱮᱰᱱᱮᱥ ?
मैं उसे देखने के लिए बेकरार हूँ।,ᱤᱧ ᱫᱚ ᱚᱱᱟ ᱧᱮᱞ ᱞᱟᱹᱜᱤᱫᱤᱧ ᱯᱟᱜᱞᱟᱣᱟᱠᱟᱱᱟ ᱾
क्या तुम टिकट बुक कर सकती हो?,ᱟᱢ ᱠᱤ ᱴᱤᱠᱤᱴᱮᱢ ᱵᱚᱠ ᱫᱟᱲᱮᱭᱟᱛᱟᱵᱩᱱᱟ ?
पहले पिताजी से बात कर लूं।,ᱤᱧ ᱵᱟᱵᱟ ᱥᱟᱶ ᱠᱟᱛᱷᱟᱧ ᱨᱚᱯᱚᱬᱞᱮᱱᱜᱤ ᱾
"हैलो, तुम वेब डिजाइनिंग का कोर्स कर रही हो न?","ᱮᱤ, ᱟᱢ ᱫᱚ ᱳᱣᱮᱵᱰᱤᱡᱟᱭᱤᱱ ᱨᱮᱭᱟᱜ ᱠᱳᱨᱥᱮᱢ ᱠᱚᱨᱟᱣᱮᱫᱽ ᱠᱟᱱᱟ, ᱦᱮᱸ ᱥᱮ ?"
"मेरी एक दोस्त भी यही कोर्स करने की सोच रही है, तो मैंने उससे कहा कि मैं उसके बारे में तुमसे कुछ जानकारी लूँगी।","ᱤᱧᱨᱮᱱ ᱢᱤᱫᱴᱟᱝ ᱜᱟᱛᱤ ᱚᱱᱟᱜᱤ ᱠᱚᱨᱟᱣᱮ ᱢᱮᱱᱮᱫᱽᱠᱟᱱᱟ ᱚᱱᱟᱛᱮ, ᱤᱧ ᱫᱚ ᱩᱱᱤᱧ ᱢᱮᱱᱟᱠᱟᱫᱤᱭᱟ ᱡᱮ ᱤᱧ ᱫᱚ ᱟᱢ ᱴᱷᱮᱱᱠᱷᱚᱱ ᱚᱱᱟ ᱵᱟᱵᱚᱫ ᱠᱤᱪᱦᱩ ᱛᱮᱛᱮᱫᱽᱤᱧ ᱧᱟᱢᱟ ᱢᱮᱱᱛᱮ ᱾"
"हाँ, ये मेरा दूसरा साल है।","ᱦᱮᱸ, ᱤᱧ ᱫᱚ ᱫᱚᱥᱟᱨ ᱥᱮᱨᱢᱟᱨᱮᱱ ᱯᱟᱹᱴᱷᱣᱟᱹ ᱾"
"बढ़िया, तो वो क्या जानना चाहती है?","ᱟᱹᱰᱤ ᱢᱚᱡᱽ, ᱟᱫᱚ ᱩᱱᱤ ᱫᱚ ᱪᱮᱫ ᱵᱟᱰᱟᱭ ᱥᱟᱱᱟᱭᱤᱫᱤᱠᱟᱱᱟ ?"
कौन-कौन से कॉलेज हैं जहाँ वेब डिजाइनिंग का डिप्लोमा कोर्स होता है?,ᱳᱣᱮᱵ ᱰᱤᱡᱟᱭᱤᱱ ᱪᱮᱛᱟᱱ ᱰᱤᱯᱞᱳᱢᱟ ᱠᱳᱨᱥᱠᱩ ᱮᱢᱚᱜᱽᱠᱟᱱ ᱠᱚᱞᱮᱡᱽᱠᱩ ᱫᱚ ᱚᱠᱟᱠᱩ ?
"उसने अपनी पसंद के बारे में कुछ पक्का तय नहीं किया है, तो अभी बस इसे ट्राई करना चाहती है।","ᱩᱱᱤ ᱫᱚ ᱟᱭᱟᱜᱽ ᱠᱩᱥᱤ ᱵᱟᱵᱚᱫ ᱟᱹᱰᱤ ᱵᱟᱭ ᱡᱚᱛᱷᱟᱛᱟ, ᱚᱱᱟᱛᱮ ᱩᱱᱤ ᱫᱚ ᱱᱤᱭᱟᱹ ᱚᱠᱛᱮ ᱚᱱᱟ ᱠᱩᱨᱩᱢᱩᱴᱩᱠᱟᱛᱮ ᱧᱮᱞᱮ ᱠᱷᱚᱡᱽᱚᱜᱽᱠᱟᱱᱟ ᱾"
"ठीक है, मैं समझ गई।","ᱴᱷᱤᱠ ᱜᱤᱭᱟ, ᱤᱧ ᱵᱩᱡᱷᱦᱟᱹᱣᱟᱠᱟᱫᱟ ᱾"
ये पुणे के स्कूल ऑफ़ फैशन टेक्नोलॉजी; चेन्नई के स्टेला मैरिस कॉलेज और चेन्नई के लोयोला कॉलेज और अन्य बहुत सारे कॉलेजों में उपलब्ध है।,"ᱟᱭᱢᱟ ᱮᱴᱟᱜᱽ ᱠᱚᱞᱮᱡᱽᱠᱩ ᱢᱩᱫᱽᱨᱮ ᱥᱠᱩᱞ ᱚᱯᱷ ᱯᱷᱮᱥᱚᱱ ᱴᱮᱠᱱᱳᱞᱚᱜᱤ, ᱯᱩᱱᱮ; ᱥᱴᱮᱞᱞᱟ ᱢᱟᱨᱤᱥ ᱠᱚᱞᱮᱡᱽ, ᱪᱮᱱᱱᱟᱭ ᱟᱨ ᱞᱚᱭᱚᱞᱟ ᱠᱚᱞᱮᱡᱽ, ᱪᱮᱱᱱᱟᱭ ᱞᱮᱠᱟᱱ ᱟᱭᱢᱟ ᱠᱚᱞᱮᱡᱽᱠᱩ ᱨᱮᱦᱚᱸ ᱧᱟᱢᱚᱜᱚᱜᱽᱼᱟ ᱾"
तुम तो लोयोला कॉलेज गई थी न?,"ᱟᱢ ᱫᱚ ᱞᱚᱭᱚᱞᱟ ᱠᱚᱞᱮᱡᱽᱮᱢ ᱪᱟᱞᱟᱣᱞᱮᱱᱟ, ᱥᱟᱹᱨᱤᱜᱮ ?"
"हाँ, मेरी पढ़ाई वहीं हुई थी।","ᱦᱮᱸ, ᱤᱧ ᱚᱸᱰᱮᱧ ᱯᱟᱲᱦᱟᱣᱟᱠᱟᱱᱟ ᱾"
"तुमने जो कॉलेज बताए, वे काफ़ी नामी हैं।",ᱟᱢ ᱧᱩᱛᱩᱢᱟᱜᱽ ᱠᱚᱞᱮᱡᱽᱠᱩ ᱫᱚ ᱵᱷᱟᱜᱤᱥᱟᱹᱦᱤᱫᱽᱤᱧ ᱚᱨᱚᱢᱟ ᱾
प्रवेश की प्रक्रिया क्या है?,ᱵᱚᱞᱚᱱᱠᱟᱹᱨᱤ ᱫᱚ ᱪᱮᱫᱽᱠᱟᱱᱟ ?
"हाँ, कुछ कॉलेज अपने खुद के एंट्रेंस एक्ज़ाम करवाते हैं।","ᱦᱮᱸ, ᱠᱤᱪᱷᱩ ᱠᱚᱞᱮᱡᱽ ᱫᱚ ᱟᱠᱩᱣᱟᱜᱽ ᱱᱤᱡᱽ ᱵᱚᱞᱚᱱ ᱵᱤᱰᱟᱹᱣᱠᱩ ᱦᱩᱭᱩᱪᱩᱭᱟ ᱾"
और10वीं और 12वीं की ग्रेड भी देखते हैं।,ᱩᱝᱠᱩ ᱫᱚ ᱑᱐ ᱟᱨ ᱑᱒ ᱛᱷᱟᱹᱨ ᱜᱨᱟᱰ ᱦᱚᱸᱠᱩ ᱧᱮᱞᱟ ᱾
एन.आई.डी. एंट्रेंस एक्ज़ाम जैसी राष्ट्रीय परीक्षाएँ भी हैं।,ᱮᱱᱟᱭᱰᱤ ᱵᱚᱞᱚᱱ ᱵᱤᱰᱟᱹᱣ ᱞᱮᱠᱟᱱ ᱡᱟᱛᱤᱭᱚ ᱵᱤᱰᱟᱹᱣ ᱦᱚᱸ ᱢᱮᱱᱟᱜᱽᱼᱟ ᱾
मेरी दोस्त के बोर्ड में वाकई बहुत अच्छे नंबर आए थे तो वे मेरिट के आधार पर किसी भी एंट्रेंस में पास हो सकती है।,"ᱤᱧᱨᱮᱱ ᱜᱟᱛᱤ ᱩᱱᱤᱭᱟᱜᱽ ᱵᱳᱰ ᱞᱟᱹᱜᱤᱫᱽ ᱥᱟᱹᱨᱤᱜᱤ ᱵᱷᱟᱜᱤᱭ ᱠᱚᱨᱟᱣᱟᱠᱟᱫᱟ, ᱚᱱᱟᱛᱮ ᱩᱱᱤ ᱫᱚ ᱡᱟᱦᱟᱸᱞᱮᱠᱟᱱ ᱡᱳᱜᱢᱟᱱᱟᱱ ᱵᱚᱞᱚᱱ ᱵᱤᱰᱟᱹᱣ ᱨᱮᱜᱤ ᱫᱟᱣᱮ ᱧᱟᱢ ᱫᱟᱲᱮᱭᱟᱜᱽᱼᱟ ᱾"
उसे अपनी क्रिएटिव स्किल पर खास भरोसा नहीं है।,ᱩᱱᱤ ᱫᱚ ᱟᱭᱟᱜᱽ ᱥᱤᱨᱡᱚᱱᱟᱱ ᱜᱟᱹᱠᱷᱩᱲ ᱪᱮᱛᱟᱱ ᱱᱤᱡᱽᱯᱟᱹᱛᱭᱟᱹᱣ ᱵᱟᱹᱱᱩᱜᱽᱛᱟᱭᱟ ᱾
इन यूनिवर्सिटियों में डिप्लोमा कोर्स कितने समय का है?,ᱱᱤᱭᱟᱹᱠᱩ ᱡᱮᱜᱮᱫᱽᱵᱤᱫᱫᱟᱹᱜᱟᱲᱨᱮ ᱰᱤᱯᱞᱳᱢᱟ ᱠᱳᱨᱥ ᱫᱚ ᱛᱤᱱᱟᱹᱜᱽ ᱡᱮᱞᱮᱧ ?
आम तौर पर ये एक से दो साल तक चलता है।,ᱱᱤᱭᱟᱹ ᱫᱚ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱞᱮᱠᱟᱛᱮ ᱢᱤᱫᱽ ᱥᱮ ᱵᱟᱨ ᱥᱨᱢᱟ ᱢᱩᱫᱽᱨᱮᱜᱤ ᱛᱷᱟᱹᱭᱤᱫᱚᱜᱽᱼᱟ ᱾
असल में ये इस बात पर निर्भर करता है कि किस कॉलेज में एडमिशन लिया है।,ᱚᱱᱟ ᱫᱚ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱞᱮᱠᱟᱛᱮ ᱵᱚᱞᱚᱜᱽᱠᱟᱱ ᱠᱚᱞᱮᱡᱽ ᱪᱮᱛᱟᱱ ᱨᱮᱜᱤᱭ ᱱᱤᱨᱵᱷᱚᱨᱟ ᱾
क्या करियर ऑप्शन अच्छे हैं?,ᱠᱮᱨᱤᱭᱟᱨ ᱨᱮᱭᱟᱜ ᱵᱤᱠᱚᱞᱯᱚᱠᱩ ᱪᱮᱫᱽ ᱵᱷᱟᱜᱤ ?
"हाँ, इस फ़ील्ड में नौकरी के मौके बढ़िया हैं।","ᱦᱮᱸ, ᱱᱤᱭᱟᱹ ᱠᱷᱮᱛᱨᱚᱨᱮ ᱪᱟᱹᱠᱨᱤ ᱨᱮᱭᱟᱜᱽ ᱦᱩᱭᱫᱟᱲᱮᱭᱟᱱᱟᱜᱽ ᱫᱚ ᱟᱥᱟᱞᱮᱠᱟᱱᱟᱜᱽ ᱜᱤ ᱾"
खास कर के तब जब दुनिया तेजी से डिजिटल होती जा रही है।,ᱱᱤᱭᱟᱹ ᱫᱚ ᱵᱤᱥᱟᱹᱥ ᱠᱟᱭᱛᱮ ᱡᱮᱜᱮᱫᱽ ᱞᱟᱦᱟᱪᱟᱞᱟᱜᱽᱠᱟᱱ ᱰᱤᱡᱤᱴᱟᱞ ᱦᱩᱭ ᱤᱫᱤᱜᱽᱠᱟᱱ ᱢᱮᱱᱛᱮᱭ ᱵᱤᱵᱟᱹᱪᱚᱱᱟᱭᱮᱫᱟ ᱾
हम्म.. मैं समझ रही हूँ तुम क्या कहना चाहती हो।,ᱦᱮᱸᱹᱹᱹ ᱵᱩᱡᱷᱦᱟᱹᱣᱤᱫᱟᱹᱧ ᱪᱮᱫᱽᱮᱢ ᱢᱮᱱ ᱩᱪᱩᱭᱮᱫᱟ ᱢᱮᱱᱛᱮ ᱾
क्या तुम ऐसे किसी को जानती हो जिसने पहले यह कोर्स किया हो?,ᱟᱢ ᱠᱤ ᱡᱟᱦᱟᱸᱭᱮᱢ ᱵᱟᱰᱟᱭᱠᱩᱣᱟ ᱡᱟᱦᱟᱸᱭ ᱫᱚ ᱱᱤᱭᱟᱹ ᱠᱳᱨᱥᱮ ᱞᱟᱦᱟᱨᱮᱭ ᱦᱟᱛᱟᱣᱟᱠᱟᱫᱟ ?
"हाँ, मेरे एक दोस्त ने कुछ पाँच साल पहले वेब डिजाइनिंग में डिप्लोमा किया था।","ᱦᱮᱸ, ᱤᱧᱨᱮᱱ ᱢᱤᱫᱽ ᱜᱟᱛᱤ ᱢᱚᱸᱲᱮ ᱥᱮᱨᱢᱟ ᱞᱟᱦᱟ ᱳᱣᱮᱵ ᱰᱤᱡᱟᱭᱤᱱ ᱪᱮᱛᱟᱱ ᱰᱤᱯᱞᱳᱢᱟᱭ ᱠᱚᱨᱟᱣᱟᱠᱟᱫᱟ ᱾"
आज वो एक सफल वेब डिज़ाइनर है।,ᱩᱱᱤ ᱫᱚ ᱛᱤᱦᱤᱧ ᱢᱤᱫᱽ ᱡᱤᱛᱠᱟᱹᱨᱤᱭᱟᱹ ᱳᱣᱮᱵ ᱰᱤᱡᱟᱭᱤᱱᱟᱨ ᱠᱟᱱᱟᱭ ᱾
"अगर तुम्हें कोई एतराज़ न हो, तो क्या मुझे उनकी कॉन्टैक्ट इंफ़ॉरमेशन मिल सकती है?","ᱡᱟᱦᱟᱸᱱᱟᱜᱽ ᱵᱟᱢ ᱢᱚᱱᱮᱭ ᱠᱷᱟᱱ, ᱤᱧ ᱠᱤ ᱩᱱᱤᱭᱟᱜᱽ ᱡᱳᱜᱟᱡᱳᱜ ᱛᱮᱛᱮᱫᱽᱤᱧ ᱦᱟᱛᱟᱣ ᱫᱟᱲᱤᱭᱟᱜᱽᱼᱟ ?"
ऐसा इसलिए कि फिर मैं इसे अपनी दोस्त को दे सकती हूँ ताकि वो किसी से इस कोर्स के बारे में डीटेल में बात कर सके।,ᱱᱚᱣᱟ ᱫᱚ ᱱᱤᱭᱟᱹ ᱞᱟᱹᱜᱤᱫᱽ ᱡᱟᱦᱟᱸᱛᱮ ᱫᱚ ᱤᱧ ᱤᱧᱨᱮᱱ ᱜᱟᱛᱤᱧ ᱮᱢ ᱫᱟᱲᱤᱭᱟᱭᱟ ᱟᱨ ᱩᱱᱤ ᱫᱚ ᱠᱳᱨᱥ ᱵᱟᱵᱚᱫ ᱵᱤᱪᱷᱱᱟᱹᱣ ᱥᱟᱹᱦᱤᱫᱽ ᱡᱟᱦᱟᱸᱭ ᱥᱟᱶ ᱠᱟᱛᱷᱟᱭ ᱢᱮᱱᱫᱟᱲᱤᱭᱟᱜᱽᱢᱟ ᱚᱱᱟ ᱞᱟᱹᱜᱤᱫᱽ ᱾
"बिल्कुल, मैं तुम्हें वॉट्सएप पर कॉन्टैक्ट भेज दूँगी।","ᱮᱠᱟᱞᱜᱤ, ᱤᱧ ᱫᱚ ᱟᱢ ᱳᱣᱟᱴᱥᱮᱯ ᱨᱮ ᱡᱳᱜᱟᱡᱳᱜᱤᱧ ᱠᱩᱞᱟᱢᱟ ᱾"
क्या मुझे बहुत देर हो गई?,ᱤᱧ ᱫᱚ ᱟᱹᱰᱤᱧ ᱵᱤᱞᱚᱢᱟᱠᱟᱱᱟ ?
परेड शुरू हो गई क्या?,ᱯᱮᱨᱮᱰ ᱮᱛᱚᱦᱚᱵᱽᱟᱠᱟᱱᱟ ?
पता नहीं इतनी देर कैसे सो गई मैं।,ᱤᱧ ᱫᱚ ᱵᱟᱹᱧ ᱵᱟᱰᱟᱭᱟ ᱪᱮᱫᱟᱜᱽ ᱩᱱᱟᱹᱜᱤᱧ ᱡᱟᱹᱯᱤᱫᱽᱟᱠᱟᱫᱟ ᱾
